Date,총거래물량,총거래금액,평균단가,평균단가 편차,지역,작물명
2021-12-01,479661.4,502864273,1048.3734421823394,-241.07902079577013,서울,양파
2022-01-01,554212.0,404150622,729.2347008004157,-26.86652979344933,서울,양파
2022-02-01,681493.0,446578247,655.2939604662117,47.07421054075462,서울,양파
2022-03-01,1089965.2,721104190,661.5845992147273,40.78357179223906,서울,양파
2022-04-01,9478396.0,5559533618,586.5479368028092,115.82023420415716,서울,양파
2022-05-01,12833453.6,6805685476,530.3081842287565,172.0599867782098,서울,양파
2022-06-01,902102.6,1013885385,1123.9136047274446,-421.5454337204783,서울,양파
2022-07-01,745084.1,924896830,1241.3321261318015,-538.9639551248351,서울,양파
2022-08-01,619744.6,812535552,1311.081293810386,-608.7131228034195,서울,양파
2022-09-01,625875.3,903308171,1443.271800309103,-740.9036293021366,서울,양파
2022-10-01,653065.7999999999,1027635583,1573.5559617422932,-871.1877907353269,서울,양파
2022-11-01,611673.4,946904745,1548.0561113169215,-845.6879403099551,서울,양파
2022-12-01,691443.1,1144166766,1654.7518747385,-952.3837037315336,서울,양파
2023-01-01,386120.8,555729363,1439.262953459125,-294.81302049921214,서울,양파
2023-02-01,582112.8,948151679,1628.8109091571257,-484.36097619721295,서울,양파
2023-03-01,1774989.4,2309334967,1301.0415538256173,-156.5916208657045,서울,양파
2023-04-01,8350806.4,9295434408,1113.1181783833474,31.331754576565345,서울,양파
2023-05-01,7449548.1,7943634387,1066.3243300623833,78.12560289752946,서울,양파
2023-06-01,799180.3,1017171085,1272.767966127293,-128.31803316738024,서울,양파
2023-07-01,555777.4,698029261,1255.9511433894218,-111.501210429509,서울,양파
2023-08-01,40878.0,52174950,1276.35769851754,-131.90776555762727,서울,양파
2020-01-01,1242260.0,996253350,801.968468758553,18.11697892647146,부산,양파
2020-02-01,1262447.0,1200651900,951.0513312638076,-130.96588357878318,부산,양파
2020-03-01,1199742.8,1052491300,877.2641102743021,-57.17866258927768,부산,양파
2020-04-01,356549.0,263060050,737.7949454352697,82.2905022497547,부산,양파
2020-05-01,803859.0,467878100,582.0400095041543,238.0454381808701,부산,양파
2020-06-01,2153064.0,1091602000,506.9993274700613,313.0861202149631,부산,양파
2020-07-01,1379506.2,859871630,623.3184236504338,196.7670240345905,부산,양파
2020-08-01,1244951.4,1006470210,808.4413656629488,11.644082022075622,부산,양파
2020-09-01,1434226.0,1294616900,902.6589254413182,-82.57347775629376,부산,양파
2020-10-01,1190929.0,1151253000,966.6848317573928,-146.59938407236837,부산,양파
2020-11-01,1204207.5,1300287900,1079.7872459688217,-259.7017982837973,부산,양파
2020-12-01,1202874.5,1350003020,1122.3141067501224,-302.228659065098,부산,양파
2021-01-01,929656.0,1336836100,1437.9900737477087,-592.2084259775115,부산,양파
2021-02-01,755296.0,1242097200,1644.5171164682456,-798.7354686980484,부산,양파
